Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2022-01-08 21:44:20,Supercharger Reward,ETH,0.0000006,,,EUR,0.0,0,supercharger_reward_to_app_credited
2022-01-08 19:54:20,USDC -> UMA,USDC,-17.918856,UMA,2.0,EUR,15.7,17.887288361,crypto_exchange
2022-01-08 19:41:24,USDC -> FIL,USDC,-23.438175,FIL,0.8,EUR,20.54,23.4015861742,crypto_exchange
2022-01-07 17:32:34,Card Cashback,CRO,0.41993312,,,EUR,0.18,0.2050771914,referral_card_cashback
2022-01-06 16:28:48,USDC -> BTC,USDC,-21.587344,BTC,0.0005,EUR,18.97,21.6128573381,crypto_exchange
2022-01-06 09:45:55,USDC -> EGLD,USDC,-41.070237,EGLD,0.2,EUR,36.18,41.2205154714,crypto_exchange
2022-01-05 19:49:05,USDC -> MIR,USDC,-21.74078,MIR,10.0,EUR,19.06,21.7153959338,crypto_exchange
2022-01-05 17:50:10,Card Cashback,CRO,0.57176899,,,EUR,0.27,0.3076157871,referral_card_cashback
2022-01-05 17:31:29,Card Cashback,CRO,1.4308694,,,EUR,0.69,0.7861292337,referral_card_cashback
2022-01-05 14:11:25,USDC -> UMA,USDC,-29.384413,UMA,3.0,EUR,25.86,29.4627564978,crypto_exchange
2022-01-05 13:01:04,Card Cashback,CRO,1.83080814,,,EUR,0.9,1.025385957,referral_card_cashback
2022-01-05 10:13:48,Supercharger Stake (via app),CRO,-183.8,,,EUR,-89.42,-101.8777914166,supercharger_deposit
2022-01-05 08:23:18,Supercharger Withdrawal (via app),CRO,100.0,,,EUR,48.2,54.915114586,supercharger_withdrawal
2022-01-05 06:09:05,USDC -> EOS,USDC,-22.620987,EOS,7.0,EUR,19.97,22.7521750681,crypto_exchange
2022-01-04 14:35:04,Mission Rewards Deposit,CRO,1.6,,,EUR,0.8,0.911454184,rewards_platform_deposit_credited
2022-01-04 13:40:33,Withdraw USDC (BSC),USDC,-197.0,,,EUR,-174.1,-198.355216793,crypto_withdrawal
2022-01-04 13:32:39,Withdraw BNB (BSC),BNB,-0.1,,,EUR,-45.22,-51.5199477506,crypto_withdrawal
2022-01-04 13:26:47,USDC -> BNB,USDC,-51.981913,BNB,0.1,EUR,45.86,52.2491110978,crypto_exchange
2022-01-04 12:32:29,Withdraw USDC (BSC),USDC,-5.0,,,EUR,-4.42,-5.0357843666,crypto_withdrawal
2022-01-02 18:53:23,Card Cashback Reversal,CRO,-1.12116135,,,EUR,-0.69,-0.7861292337,card_cashback_reverted
2022-01-01 20:24:41,Card Cashback,CRO,6.49636133,,,EUR,3.33,3.7939280409,referral_card_cashback
2021-12-31 19:15:01,USDC -> MOVR,USDC,-27.671596,MOVR,0.15,EUR,24.23,27.6056685979,crypto_exchange
2021-12-31 16:00:38,Card Cashback,CRO,0.61353068,,,EUR,0.32,0.3645816736,referral_card_cashback
2021-12-31 15:57:19,Card Cashback,CRO,0.3252048,,,EUR,0.17,0.1936840141,referral_card_cashback
2021-12-31 15:34:11,Card Cashback,CRO,3.38606254,,,EUR,1.75,1.9938060275,referral_card_cashback
2021-12-31 14:50:52,Card Cashback,CRO,3.51538314,,,EUR,1.81,2.0621650913,referral_card_cashback
2021-12-30 00:09:11,USDC -> GRT,USDC,-20.205299,GRT,32.0,EUR,17.71,20.1773169983,crypto_exchange
2021-12-29 07:42:12,Card Cashback,CRO,2.25790324,,,EUR,1.14,1.2988222122,referral_card_cashback
