Timestamp (UTC);Transaction Description;Currency;Amount;To Currency;To Amount;Native Currency;Native Amount;Native Amount (in USD);Transaction Kind
2022-01-01 20:24:41;Card Cashback;CRO;6,49636133;;;EUR;3,33;3,7759922946;referral_card_cashback
2021-12-31 19:15:01;USDC -> MOVR;USDC;-27,671596;MOVR;0,15;EUR;24,23;27,4751631526;crypto_exchange
2021-12-31 16:00:38;Card Cashback;CRO;0,61353068;;;EUR;0,32;0,3628581184;referral_card_cashback
2021-12-31 15:57:19;Card Cashback;CRO;0,3252048;;;EUR;0,17;0,1927683754;referral_card_cashback
2021-12-31 15:34:11;Card Cashback;CRO;3,38606254;;;EUR;1,75;1,984380335;referral_card_cashback
2021-12-31 14:50:52;Card Cashback;CRO;3,51538314;;;EUR;1,81;2,0524162322;referral_card_cashback
2021-12-30 00:09:11;USDC -> GRT;USDC;-20,205299;GRT;32,0;EUR;17,71;20,0819289902;crypto_exchange
2021-12-29 07:42:12;Card Cashback;CRO;2,25790324;;;EUR;1,14;1,2926820468;referral_card_cashback
2021-12-28 23:15:51;USDC -> MOVR;USDC;-29,417272;MOVR;0,15;EUR;25,93;29,4028469066;crypto_exchange
2021-12-28 22:51:24;USDC -> GRT;USDC;-20,218604;GRT;30,0;EUR;17,83;20,2180007846;crypto_exchange
2021-12-28 22:05:57;USDC -> COMP;USDC;-42,534822;COMP;0,2;EUR;37,49;42,5110964338;crypto_exchange
2021-12-28 12:29:35;FTM -> USDC;FTM;-10,0;USDC;22,761546;EUR;20,02;22,7013110324;crypto_exchange
2021-12-28 00:21:14;AVAX -> USDC;AVAX;-0,254;USDC;28,080661;EUR;24,71;28,0194503302;crypto_exchange
2021-12-28 00:16:06;BAT -> USDC;BAT;-4,0;USDC;5,376102;EUR;4,73;5,3634965626;crypto_exchange
2021-12-28 00:14:46;BAT -> USDC;BAT;-45,0;USDC;60,565386;EUR;53,29;60,4272160298;crypto_exchange
2021-12-28 00:10:51;SAND -> USDC;SAND;-10,0;USDC;61,978872;EUR;54,43;61,7198980766;crypto_exchange
2021-12-28 00:03:47;ATOM -> USDC;ATOM;-4,51;USDC;130,759859;EUR;115,08;130,4928508296;crypto_exchange
2021-12-24 08:15:55;USDC -> QTUM;USDC;-20,551045;QTUM;2,0;EUR;18,04;20,4561264248;crypto_exchange
2021-12-23 13:32:52;USDC -> PSG;USDC;-20,291973;PSG;1,2;EUR;17,88;20,2746973656;crypto_exchange
2021-12-22 22:14:35;USDC -> FIL;USDC;-20,054516;FIL;0,55;EUR;17,65;20,013893093;crypto_exchange
2021-12-22 16:55:34;Card Cashback;CRO;4,35670032;;;EUR;2,09;2,3699170858;referral_card_cashback
2021-12-22 15:45:52;Card Cashback;CRO;0,14913813;;;EUR;0,07;0,0793752134;referral_card_cashback
2021-12-22 15:38:52;Card Cashback;CRO;4,54615642;;;EUR;2,16;2,4492922992;referral_card_cashback
