Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind
2022-01-05 19:49:05,USDC -> MIR,USDC,-21.74078,MIR,10.0,EUR,19.06,21.65201204930404,crypto_exchange
2022-01-05 17:50:10,Card Cashback,CRO,0.57176899,,,EUR,0.27,0.30671790416118,referral_card_cashback
2022-01-05 17:31:29,Card Cashback,CRO,1.4308694,,,EUR,0.69,0.78383464396746,referral_card_cashback
2022-01-05 14:11:25,USDC -> UMA,USDC,-29.384413,UMA,3.0,EUR,25.86,29.37675926521524,crypto_exchange
2022-01-05 13:01:04,Card Cashback,CRO,1.83080814,,,EUR,0.9,1.0223930138706,referral_card_cashback
2022-01-05 10:13:48,Supercharger Stake (via app),CRO,-183.8,,,EUR,-89.42,-101.58042588923228,supercharger_deposit
2022-01-05 08:23:18,Supercharger Withdrawal (via app),CRO,100.0,,,EUR,48.2,54.7548258539588,supercharger_withdrawal
2022-01-05 06:09:05,USDC -> EOS,USDC,-22.620987,EOS,7.0,EUR,19.97,22.68576498555098,crypto_exchange
2022-01-04 14:35:04,Mission Rewards Deposit,CRO,1.6,,,EUR,0.8,0.9087937901072,rewards_platform_deposit_credited
2022-01-04 13:40:33,Withdraw USDC (BSC),USDC,-197.0,,,EUR,-174.1,-197.7762485720794,crypto_withdrawal
2022-01-04 13:32:39,Withdraw BNB (BSC),BNB,-0.1,,,EUR,-45.22,-51.36956898580948,crypto_withdrawal
2022-01-04 13:26:47,USDC -> BNB,USDC,-51.981913,BNB,0.1,EUR,45.86,52.09660401789524,crypto_exchange
2022-01-04 12:32:29,Withdraw USDC (BSC),USDC,-5.0,,,EUR,-4.42,-5.02108569034228,crypto_withdrawal
2022-01-02 18:53:23,Card Cashback Reversal,CRO,-1.12116135,,,EUR,-0.69,-0.78383464396746,card_cashback_reverted
2022-01-01 20:24:41,Card Cashback,CRO,6.49636133,,,EUR,3.33,3.78285415132122,referral_card_cashback
2021-12-31 19:15:01,USDC -> MOVR,USDC,-27.671596,MOVR,0.15,EUR,24.23,27.52509191787182,crypto_exchange
2021-12-31 16:00:38,Card Cashback,CRO,0.61353068,,,EUR,0.32,0.36351751604288,referral_card_cashback
2021-12-31 15:57:19,Card Cashback,CRO,0.3252048,,,EUR,0.17,0.19311868039778,referral_card_cashback
2021-12-31 15:34:11,Card Cashback,CRO,3.38606254,,,EUR,1.75,1.9879864158595,referral_card_cashback
2021-12-31 14:50:52,Card Cashback,CRO,3.51538314,,,EUR,1.81,2.05614595011754,referral_card_cashback
2021-12-30 00:09:11,USDC -> GRT,USDC,-20.205299,GRT,32.0,EUR,17.71,20.11842252849814,crypto_exchange
2021-12-29 07:42:12,Card Cashback,CRO,2.25790324,,,EUR,1.14,1.29503115090276,referral_card_cashback
2021-12-28 23:15:51,USDC -> MOVR,USDC,-29.417272,MOVR,0.15,EUR,25.93,29.45627872184962,crypto_exchange
2021-12-28 22:51:24,USDC -> GRT,USDC,-20.218604,GRT,30.0,EUR,17.83,20.25474159701422,crypto_exchange
2021-12-28 22:05:57,USDC -> COMP,USDC,-42.534822,COMP,0.2,EUR,37.49,42.58834898889866,crypto_exchange
2021-12-28 12:29:35,FTM -> USDC,FTM,-10.0,USDC,22.761546,EUR,20.02,22.74256459743268,crypto_exchange
2021-12-28 00:21:14,AVAX -> USDC,AVAX,-0.254,USDC,28.080661,EUR,24.71,28.07036819193614,crypto_exchange
2021-12-28 00:16:06,BAT -> USDC,BAT,-4.0,USDC,5.376102,EUR,4.73,5.37324328400882,crypto_exchange
2021-12-28 00:14:46,BAT -> USDC,BAT,-45.0,USDC,60.565386,EUR,53.29,60.53702634351586,crypto_exchange
2021-12-28 00:10:51,SAND -> USDC,SAND,-10.0,USDC,61.978872,EUR,54.43,61.83205749441862,crypto_exchange
